bm,bn,en,zh-CN,hi,es,fr
হারৌ ইয়া যেহান হিকতেই সারাজীবন মনে থায়তই,আনন্দের সাথে শেখা বিষয় সারাজীবন মনে থাকে,Things learned with pleasure are remembered for life,愉快地学到的东西会终生铭记,आनंदपूर्वक सीखी गई चीजें जीवन भर याद रहती हैं,Las cosas aprendidas con gusto se recuerdan para toda la vida,Les choses apprises avec plaisir restent gravées dans les mémoires pour la vie
আমার বপা মরিছে কাদে ডিঙ্গও নেই,আমার দাদু মারা গেছে কাঁদে দেবার লোক নাই,My grandfather is dead and there is no one to cry for,我的祖父去世了，没有人可以为我哭泣,मेरे दादाजी मर चुके हैं और उनके लिए रोने वाला कोई नहीं है,Mi abuelo está muerto y no hay nadie por quien llorar.,Mon grand-père est mort et il n'y a personne pour qui pleurer
আজি তে শয়ন,আজকে শয়ন,sleep today,今天睡觉,आज सो जाओ,dormir hoy,dormir aujourd'hui
কিমে কিসারে,কেমনে কি,how,如何,कैसे,cómo,comment
ভাত খেইলে গ,ভাত খেয়েছ,ate rice,吃了米饭,चावल खाया,comió arroz,mangé du riz
নিক্কা নিক্কা তর হপন দেহেরু,প্রতিদিন তুমাকে স্বপ্নে দেখি,I dream of you every day,我每天都梦见你,मैं हर दिन तुम्हारा सपना देखता हूं,sueño contigo todos los dias,Je rêve de toi tous les jours
অ বগা হমাছি,অ সখা/বন্ধুবর বক পাখি,A non-friend bird,一只非朋友鸟,एक गैर मित्र पक्षी,Un pájaro no amigo,Un oiseau non-ami
তিতে কোহান যাওরিগা,তুমি কোথায় যাচ্ছ,where are you going,你要去哪里,आप कहां जा रहे हैं,¿adónde vas?,où vas-tu
মর সৌগ,আমার বাচ্চা/বাবু,my baby/baby,我的宝贝/宝贝,मेरा बच्चा/बच्चा,mi bebe/bebe,mon bébé/bébé
মরক শি খেয়া,মরিচ খেয়ে,Eating chili,吃辣椒,मिर्च खाना,comiendo chile,Manger du chili
গাটর পারে,নদীর ধারে,by the river,在河边,नदी द्वारा,por el río,au bord de la rivière
ওহা ওহা কাদিরি,উহা উহা করে কাদতেছে,It is crying,它在哭泣,यह रो रहा है,esta llorando,Il pleure
মারুপ হাবি তিলোরাঙ আজি,আজকে সব বন্ধুরা মিলিত হবো,Today all friends will meet,今天所有的朋友都会见面,आज सभी दोस्तों से मुलाकात होगी,Hoy todos los amigos se reunirán.,"Aujourd'hui, tous les amis se rencontreront"
প্রণবর দোকানগত খানারতা হুয়াত অর,প্রণবের দোকানের খাবার অনেক মজা হয়,Food at Pranab's shop is a lot of fun,Pranab 店里的食物很有趣,प्रणब की दुकान का खाना बहुत मजेदार है,Comer en la tienda de Pranab es muy divertido.,La nourriture à la boutique de Pranab est très amusante
কতদিন ইল বরন নাদের,কয়েকদিন ধরে বৃষ্টি হচ্ছে না,It hasn't rained for days,好几天没下雨了,कई दिनों से बारिश नहीं हुई है,Hace días que no llueve,Il n'a pas plu depuis des jours
এমতাগার ফিরা রথ হান নুঙেই ইসিল,এবছরের উলটোরথে প্রচুর মজা হয়েছে,This year's reverse has been a lot of fun,今年的逆转很有趣,इस साल का उलटा बहुत मजेदार रहा,El revés de este año ha sido muy divertido.,L'inverse de cette année a été très amusant
হউপাত কুটিয়া নম্পর থক্ক,সবজি কুটে শেষ করো তাড়াতাড়ি,Finish chopping the vegetables quickly,快速切完蔬菜,जल्दी से सब्जियाँ काटना ख़त्म करो,Termina de picar las verduras rápidamente.,Finissez de hacher les légumes rapidement
হজক,ঔষুধ,medicine,药品,दवा,medicamento,médecine
জুলর হও আহান খানা আহের হে,জুলের কারি খেতে ইচ্ছা করতেছে,Jules wants to eat curry,朱尔斯想吃咖喱,जूल्स करी खाना चाहता है,Jules quiere comer curry.,Jules veut manger du curry
আজি একাদশী,আজকে একাদশী,Today is Ekadashi,今天是埃卡达西,आज एकादशी है,Hoy es Ekadasi,Aujourd’hui c’est Ekadashi
তি মাতর অহানে হবা ইসে,তুমি যা বলছো তাই ভাল,What you say is good,你说的都好,आप जो कहते हैं वह अच्छा है,lo que dices es bueno,Ce que tu dis est bien
টাউনে থাইতারা মানুশৌ ইমার ঠার দেনা নিয়ারতা,টাউনে থাকা মণিপুরি শিশুরা মাতৃভাষায় কথা বলতে পারে না,Manipuri children in town cannot speak mother tongue,镇上的曼尼普尔邦儿童不会说母语,शहर में मणिपुरी बच्चे मातृभाषा नहीं बोल सकते,Los niños de Manipuri en la ciudad no pueden hablar su lengua materna,Les enfants de Manipuri ne parlent pas leur langue maternelle
বাপকর লগে তিক সউয়িয়া শৌ গ নিকুলিয়া গিয়াসে গরেত্তো,বাবার সাথে রাগ করে ছেলেটা বাড়ি থেকে নের হয়ে গিয়েছে,"Angry with his father, the boy ran away from home",男孩对父亲生气，离家出走,पिता से नाराज होकर लड़का घर से भाग गया,"Enojado con su padre, el niño se escapó de casa","En colère contre son père, le garçon s'est enfui de chez lui"
গপ্পারা তি গরে থাইলে মি নিকুলানি পারুরি নাই,তুমি একটু বাড়িতে থাকলে আমি বের হতে পারি,I can go out if you stay home for a while,如果你呆在家里一段时间我可以出去,यदि आप कुछ देर घर पर रहें तो मैं बाहर जा सकता हूँ,Puedo salir si te quedas en casa un rato,Je peux sortir si tu restes à la maison pendant un moment
আজি চকথা হানে কাম কিতা করানি নাহের,আজকে আর কাজ করতে ইচ্ছে করছে না ক্লান্তিতে,I don't want to work anymore because of tiredness,因为累不想再工作了,मैं थकान के कारण अब और काम नहीं करना चाहता,ya no quiero trabajar por cansancio,Je ne veux plus travailler à cause de la fatigue
আমি আরাকদিন যিতাঙাইগা,আমরা আরেকদিন যাবো,We will go another day,我们改天再去,हम दूसरे दिन जायेंगे,nos iremos otro dia,Nous irons un autre jour
অরে গাঙ অহাত আমার সাকেই নেই,ওই গ্রামে আমাদের কোন আত্মীয় নেই,We have no relatives in that village,我们在那个村子里没有亲戚,उस गांव में हमारा कोई रिश्तेदार नहीं है,No tenemos parientes en ese pueblo.,Nous n'avons aucun parent dans ce village
পিসরলেকিত মানু আগো দৌ ইসে,পশ্চিম পাড়ায় একজন লোক মারা গেছে,A man died in the western suburbs,一名男子在西郊死亡,पश्चिमी उपनगर में एक आदमी की मौत हो गई,Un hombre murió en los suburbios del oeste.,Un homme est mort en banlieue ouest
যিতাঙাইগা নাই আমি আরাকদিন,আমরা নাহয় আরেকদিন যাবো,We will go another day,我们改天再去,हम दूसरे दिन जायेंगे,nos iremos otro dia,Nous irons un autre jour
আলু বেইলঙনো মাছ হিজাসু আজি,আলু বেগুন দিয়ে মাছের তরকারি রেধেছি আজকে,I cooked fish curry with potatoes and eggplant today,我今天用土豆和茄子做了咖喱鱼,मैंने आज आलू और बैंगन के साथ मछली करी बनाई,Hoy cociné pescado al curry con patatas y berenjenas.,J'ai cuisiné du poisson au curry avec des pommes de terre et des aubergines aujourd'hui
কিহান মাতানি নাদরহান,কি বলতে দিচ্ছোনা,What are you saying?,你在说什么？,आप क्या कह रहे हैं?,¿Qué estás diciendo?,Qu'est-ce que tu dis?
মি হান্নাপাসু,আমি জানিনা,i don't know,我不知道,मुझें नहीं पता,no sé,je ne sais pas
সাঙুইয়া থাইলে এন্ট্রি দিতউ,অবসর থাকলে এন্ট্রি দিবো,I will enter if I have time,如果有时间我会进入,यदि मेरे पास समय होगा तो मैं प्रवेश करूंगा,entraré si tengo tiempo,J'entrerai si j'ai le temps
লালুইলে ঙাক্করেদিস,ভুল হলে ক্ষমা করে দিও,Forgive me if I am wrong,如果我错了请原谅我,अगर मैं गलत हूं तो मुझे माफ कर देना,Perdóname si me equivoco,Pardonne-moi si je me trompe
মানুর ঠারর লেরিক আহান্ন বহিলে এন্ট্রি দেনা নুঙেই ইতই,মাতৃভাষার একটা বই নিয়ে বসলে সহজে এন্ট্রি দেয়া যাবে,"If you sit with a book in your mother tongue, you can enter easily",如果你拿着一本母语的书坐着，你就可以轻松进入,अगर आप अपनी मातृभाषा में किताब लेकर बैठें तो आसानी से प्रवेश कर सकते हैं,"Si te sientas con un libro en tu lengua materna, podrás entrar fácilmente","Si vous êtes assis avec un livre dans votre langue maternelle, vous pouvez facilement entrer"
হউহানি দখিল চালাক্করে জিগ লিবা,তরকারি পুড়ে গেছে তাড়াতাড়ি আগুন নেভাও,Curry is burnt quickly put off the fire,咖喱烧焦了赶紧关火,करी जल गयी है जल्दी से आग बुझा दीजिये,El curry se quema rápidamente y apaga el fuego.,"Le curry est brûlé, éteignez rapidement le feu"
কামহান জবর হিনুইসে,কাজটি খুবই কষ্টকর,The work is very difficult,工作非常困难,काम बहुत कठिन है,el trabajo es muy dificil,Le travail est très difficile
কিতা ইসেথাঙ?,কি হয়ছে?,what happened,发生了什么,क्या हुआ,qué sucedió,ce qui s'est passé
কালি বাজারবার ইয়া মাঙকেই মাঙে রথ হান নিকালা নুয়ারিসি,গতকাল হাটবার থাকায় তেতইগাঁও রথ বের করতে পারেনি,Tetigaon could not take out the chariot because of the Hatbar yesterday,昨天泰提冈因为哈特巴尔的原因无法取出战车,कल हटबार के कारण टेटीगांव रथ नहीं निकाल सका,Tetigaon no pudo sacar el carro debido al Hatbar de ayer.,Tetigaon n'a pas pu sortir le char à cause du Hatbar hier
বাজারে এপাগা মরকসি তাঙুইসে,বাজারে এখন মরিচের দাম বেশি,The price of pepper is high in the market now,目前市场花椒价格较高,बाजार में अभी काली मिर्च की कीमत ऊंची है,El precio de la pimienta ahora es alto en el mercado,Le prix du poivre est actuellement élevé sur le marché
বাজারেতো মরকসি আনিস,বাজার থেকে মরিচ এনো,Bring pepper from the market,从市场上买辣椒,बाजार से काली मिर्च ले आओ,Trae pimienta del mercado.,Apportez du poivre du marché
এপাগা কুঙ্গ কুঙ্গ এরে লেখা অহন পাকররাইতা?,এখন কে কে এই লেখাটি পড়ছো?,Who is reading this text now?,现在谁在读这篇文章？,अब यह पाठ कौन पढ़ रहा है?,¿Quién está leyendo este texto ahora?,Qui lit ce texte maintenant ?
মি লেখুরি অতা হবা লাগেরতা?,আমার লেখাগুলো কি ভালো লাগছে?,Do you like my writing?,你喜欢我写的文章吗？,क्या आपको मेरा लेखन पसंद है?,¿Te gusta mi escritura?,Aimez-vous mon écriture?
আজি একাদশী,আজকে একাদশী,Today is Ekadashi,今天是埃卡达西,आज एकादशी है,Hoy es Ekadasi,Aujourd’hui c’est Ekadashi
আজি জবর গরম ইছে,আজকে প্রচণ্ড গরম,Today is very hot,今天很热,आज बहुत गर्मी है,hoy hace mucho calor,Aujourd'hui il fait très chaud
মোর প্রেমিকাগতে নাবেনাই তি,তি হবাপেইতেই অক্ক হুদ্দা লেখে নারিম,Ti Habapeitei Akk Hudda Lekhe Narim,蒂哈巴佩泰 Akk Hudda Lekhe Narim,ती हबापेइतेई अक्क हुडा लेखे नारीम,Ti Habapeitei Akk Hudda Lekhe Narim,Ti Habapeitei Akk Hudda Lekhe Narim
তি শৌগ,তি অতা হারনাপেইবে,You will lose,你会输的,तुम हार जाओगे,perderás,Tu perdras
সউকরাহান জবর ইসে অহত্তে আমি কিতা করতাং?,বেশ গরম পড়ছে তো আমরা কি করবো?,"It's getting hot, so what do we do?",天气越来越热了，我们该怎么办呢？,"गर्मी बढ़ रही है, तो हम क्या करें?","Hace calor, ¿qué hacemos?","Il fait chaud, alors qu'est-ce qu'on fait ?"
আজি সাকলসেল,হেলকরৌরিগ মি,Helkeraurig Mr,赫尔克奥里格先生,हेलकेराउरिग श्रीमान,Helkeraurig Sr.,Helkeraurig Monsieur
মানু এগ বেদত্ব বারা ইসে,লোকটি সহ্য সীমার বাইরে,The man is out of tolerance,男人已经无法承受,आदमी बर्दाश्त के बाहर है,El hombre está fuera de tolerancia.,L'homme est hors de tolérance
তিতে বুজনগ ইয়াবল্লেগা সাত দা?,তুমি কি তাহলে মুরুব্বি হয়ে গেছো দাদা?,"Did you become a mulberry, grandfather?",爷爷，你变成桑树了吗？,क्या आप शहतूत बन गए दादा?,"¿Te convertiste en morera, abuelo?","Es-tu devenu mûrier, grand-père ?"
সউগি পনাপনি খেলতারা,বাচ্চারা লুকোচুরি খেলছে,Children playing hide and seek,孩子们在玩捉迷藏,बच्चे लुका-छिपी खेल रहे हैं,Niños jugando al escondite,Enfants jouant à cache-cache
অদি অগ কুঙ্গ থাং,মোরতা জবর হারপানি আহবল্গা,Morta Jabar Harpani Ahbalga,莫尔塔·贾巴尔·哈帕尼·阿巴尔加,मोर्ता जबर हरपानी अहबलगा,Morta Jabar Harpani Ahbalga,Morta Jabar Harpani Ahbalga
নিঙলশৌ এগ চুনা ইসে,মেয়েটি অনেক সুন্দর,The girl is very beautiful,女孩很漂亮,लड़की बहुत सुन्दर है,la chica es muy hermosa,La fille est très belle
অহন বারো কিজাত নাংহান,ওটা আবার কেমন নাম,What is that name again?,那个名字又是什么？,वह नाम फिर क्या है?,¿Cuál es ese nombre de nuevo?,C'est quoi ce nom déjà ?
নংসাং দিন পরে দেখা ইল,অনেক দিন পর দেখা হল,We met after a long time,我们很久之后才见面,हम बहुत दिनों बाद मिले,Nos conocimos después de mucho tiempo.,Nous nous sommes rencontrés après un long moment
জেলা শৌগ তিক হান জবর ইসে,মেয়েটির রাগ অনেক বেশি,The girl is very angry,女孩很生气,लड़की बहुत गुस्से में है,la chica esta muy enojada,La fille est très en colère
কামহান হাংকাতো লইকরিয়া হদেইলো,কাজটি সেই কবেই শেষ করেছে,The work was finished at that time,当时工作已经完成,उस समय काम ख़त्म हो चुका था,La obra estaba terminada en ese momento.,Les travaux étaient terminés à cette époque
লেখাহাত দাড়ি কমা নাদরাইতা কিদিয়া?,লেখায় দাড়ি কমা ব্যবহার করছো না কেন?,Why don't you use commas in writing?,写作时为什么不使用逗号？,आप लेखन में अल्पविराम का प्रयोग क्यों नहीं करते?,¿Por qué no utilizas comas al escribir?,Pourquoi n'utilisez-vous pas de virgules pour écrire ?
তোমার লগে মি নারিম,তোমাদের সাথে আমি পারবো না,I can't with you,我不能和你在一起,मैं तुम्हारे साथ नहीं रह सकता,no puedo contigo,je ne peux pas avec toi
হাবির বাহানার পাত্র গ অনা হীন,সবার ভালবাসার পাত্র হওয়া কঠিন,It is difficult to be loved by everyone,想要得到所有人的喜爱是一件很困难的事,हर किसी से प्यार पाना कठिन है,Es difícil ser amado por todos.,Il est difficile d'être aimé de tout le monde
খবলগ মজপরসেগা,ছিড়েবেলেই,When torn,撕破时,जब फट गया,cuando se rompe,Quand déchiré
কতগই তরে বাহানা পেইতাই,কিছু মানুষ আপনাকে ভালবাসবে,Some people will love you,有些人会爱你,कुछ लोग आपसे प्यार करेंगे,Algunas personas te amarán,Certaines personnes t'aimeront
কত গই তরে মন্দ মাত্তাই,কিছু মানুষ মন্দ বলবে,Some people will say evil,有人会说邪恶,कुछ लोग बुरा कहेंगे,Algunas personas dirán mal,Certaines personnes diront du mal
আমার সপাহাত হুয়া আগ দরিসে,আমাদের গাছে একটা শসা ধরেছে,A cucumber has caught on our tree,一根黄瓜挂在我们的树上,हमारे पेड़ पर एक खीरा लग गया है,Un pepino se ha enganchado en nuestro árbol.,Un concombre s'est accroché à notre arbre
বহে বহে মোবাইল গুতিয়া থারাই সাত আস্তা দিনহান?,সারাদিন বসে বসে মোবাইল টিপো মনে হয়?,Do you feel like sitting on a mobile phone all day?,您是否想整天坐在手机上？,क्या आपका मन पूरे दिन मोबाइल फोन पर बैठे रहने का करता है?,¿Tienes ganas de estar sentado frente a un teléfono móvil todo el día?,Avez-vous envie de rester assis toute la journée sur votre téléphone portable ?
যেগই হাবিরে হবা মাত্তারা অগ নিহসন্দেহে জবর চালাকা মানুগ,যাকে সবাই ভালো বলে সে নিঃসন্দেহে খুব চালাক মানুষ,The one whom everyone calls good is undoubtedly a very clever person,人人都说好的人无疑是一个非常聪明的人,"जिसे सब लोग अच्छा कहते हैं, वह निस्संदेह बहुत चतुर व्यक्ति है",Aquel a quien todos llaman bueno es sin duda una persona muy inteligente.,Celui que tout le monde appelle bon est sans aucun doute une personne très intelligente
যেথাগরে অসারে মাতানি অওনানেই,বড়দেরকে এভাবে বলা উচিত নই,Adults should not be told this way,不应该这样告诉成年人,बड़ों को इस तरह नहीं बताना चाहिए,A los adultos no se les debe decir esto de esta manera,On ne devrait pas dire cela aux adultes
বেলেই গুজে হিনুইছে,বাদ দাও তো বেশ কষ্টসাধ্য,It is very difficult to quit,戒烟非常困难,इसे छोड़ना बहुत कठिन है,Es muy dificil dejarlo,C'est très difficile d'arrêter
মি শিয়ানপাগা নাগই,আমি চালাক নই,I'm not clever,我不聪明,मैं चतुर नहीं हूँ,no soy inteligente,je ne suis pas intelligent
হুরকাঙ শৌরে থারানি গমনেই,ছোটদের গালি দেয়া উচিত নই,Children should not be abused,儿童不应该受到虐待,बच्चों के साथ दुर्व्यवहार नहीं करना चाहिए,No se debe abusar de los niños,Les enfants ne devraient pas être maltraités
মি হুদ্দা চিলক্সের বার্গার খানা চাওরি,আমি কেবল চিলেক্সের বার্গার খাইতে চাই,I just want to eat a Chilex burger,我只想吃Chilex汉堡,मैं बस चिलीक्स बर्गर खाना चाहता हूं,solo quiero comerme una hamburguesa chilex,Je veux juste manger un burger Chilex
হাব্বিয়ে হুনেই- এসারে নাইবো,সবাই শোন- এভাবে হবেনা,Everyone listen - it won't happen like this,大家听着——不会发生这样的事,सब सुनो- ऐसा नहीं होगा,"Escuchen todos, esto no sucederá así.","Tout le monde écoute, ça n'arrivera pas comme ça"
উসই ইরলপা খানা আহের,কচি বাশের আগা কেটে ছোট ছোট করে চাটনি খেতে ইচ্ছা করে,The little one wants to eat the chutney by cutting it into small pieces,小家伙想把酸辣酱切成小块来吃,छोटा बच्चा चटनी को छोटे-छोटे टुकड़ों में काटकर खाना चाहता है,El pequeño quiere comerse el chutney cortándolo en trozos pequeños,Le petit veut manger le chutney en le coupant en petits morceaux
কিসারে ইতই অহন কালি বিয়ানে বাগাইতউ,কিভাবে হবে তা আগামীকাল সকালে বলবো,I will tell you tomorrow morning how it will be,明天早上我会告诉你情况如何,मैं तुम्हें कल सुबह बताऊंगा कि यह कैसा होगा,Mañana por la mañana te diré cómo será.,Je te dirai demain matin comment ça va se passer
লেমটল গ জালা,হাড়িকেন জালাও,Hariken Jalao,哈里肯·贾劳,हरिकेन जलाओ,Hariken Jalao,Hariken Jalao
হ ইমা এহেন কিহান হে,ও মা এটা কি,Oh mother what is it,哦妈妈这是什么,अरे माँ ये क्या है,"Oh madre, ¿qué es?","Oh maman, qu'est-ce que c'est"
ভাতর বকগই নাকরলো,প্রচুর খিদা লাগছে,Very hungry,很饿,बहुत भूख लगी है,mucha hambre,Très faim
কিতা হিজা সত গ,কি রান্না কর,cook what,煮什么,क्या पकाओ,cocinar que,cuisiner quoi
মিতে আকিহান ভুল করেবেলাউরি সাত,অতা কিক্ক চুমকরানি?,Ata kikk chumkarani?,Ata kikk chumkarani？,अता किक्क चुमकरानी?,¿Ata kikk chumkarani?,Ata kikk chumkarani ?
চামবুত হিজাওরি,সিদ্দ তরকারি রান্না করি,I cook Sidd curry,我煮西德咖喱,मैं सिड करी बनाती हूं,Yo cocino curry Sidd,Je cuisine du curry Sidd
পানি ফুটি পিনা আহের হে,পানি খেতে ইচ্ছা করতেছে,He wants to drink water,他想喝水,वह पानी पीना चाहता है,el quiere beber agua,Il veut boire de l'eau
অদি'র ঘরগ ঘোড়ামারা গাঙে,অদির বাড়ি ঘোড়ামারা গ্রামে,Adi's house is in Ghoramara village,阿迪的家位于古拉马拉村,आदि का घर घोरमारा गांव में है,La casa de Adi está en el pueblo de Ghoramara.,La maison d'Adi se trouve dans le village de Ghoramara
আজিকালিকার শৌ এতা বেত্তমিস ইসি,ইদানিং কালের বাচ্চাগুলো খুবই দুরন্ত,Kids these days are very fastidious,现在的孩子都很挑剔,आजकल के बच्चे बहुत तेज़-तर्रार होते हैं,Los niños de hoy en día son muy exigentes.,Les enfants de nos jours sont très exigeants
ঙাহাক আহান নিকালিয়া আমারাঙ আহিস,সময় বের করে বাসায় এসো,Take your time and come home,慢慢来，回家吧,अपना समय लो और घर आओ,Tómate tu tiempo y vuelve a casa.,Prends ton temps et rentre à la maison
হাদ্দাপেয়া লহঙ করিয়া কিহানতে কানা ইল?,এত পছন্দ করে বিয়ে করে কি লাভ হলো?,What is the benefit of marrying so much?,结婚这么多有什么好处？,इतनी शादी करने से क्या फायदा?,¿Cuál es el beneficio de casarse tanto?,Quel est l’avantage de se marier autant ?
ঠেইপংগ মজিয়া কর্তাগই খেয়া থসে,কাঠাল পেকে যাওয়ায় কাঠবিড়ালি খেয়েছে,Squirrels ate the wood as it ripened,松鼠在木头成熟时吃掉它,लकड़ी पकने पर गिलहरियाँ उसे खा जाती थीं,Las ardillas se comieron la madera mientras maduraba.,Les écureuils mangeaient le bois à mesure qu'il mûrissait
ঘরগ এরাদিয়া যানা নাহের,বাড়ি ছেড়ে যেতে ইচ্ছে করে না,Don't want to leave home,不想离开家,घर छोड़ना नहीं चाहता,no quiero salir de casa,Je ne veux pas quitter la maison
জোলাকগ হবা ইয়া নিকুলিসে,আকাশে সুন্দর চাঁদ উঠেছে,A beautiful moon has risen in the sky,一轮美丽的月亮已经升上了天空,आकाश में एक सुन्दर चाँद उग आया है,Una hermosa luna ha salido en el cielo.,Une belle lune s'est levée dans le ciel
তুমিতে আমার সাকেই নায়,তোমরা আমাদের আত্মীয়,You are our relatives,你是我们的亲人,आप हमारे रिश्तेदार हैं,ustedes son nuestros parientes,Vous êtes nos proches
মি নাহিম,আমি আসবো না,i won't come,我不会来,मैं नहीं आऊंगा,no vendré,je ne viendrai pas
মর কথাহান হুন গপ্পারা,আমার কথা শোন একটু,Listen to me,听我说,मेरी बात सुनो,escúchame,Écoutez-moi
তর সাক্তাহান দেখানি নাহের,তুমার মুখ দেখতে চাই না,I don't want to see your face,我不想看到你的脸,मैं तुम्हारा चेहरा नहीं देखना चाहता,no quiero ver tu cara,Je ne veux pas voir ton visage
কত চুনা ইসে হানে,কি সুন্দর,how beautiful,多么美丽,कितनी सुंदर है,Qué hermoso,comme c'est beau
তি মিয়ে এক লগে যিকগা,তুমি আমি একসাথে যাব,You and I will go together,你和我会一起走,आप और मैं साथ चलेंगे,tu y yo iremos juntos,Toi et moi irons ensemble
তর কঙালা মুকসি হান মি বিবুলা ইলু,তুমার মায়াবি হাসি দেখে আমি পাগল হয়েছি,I am crazy seeing your magical smile,看到你神奇的笑容我很疯狂,मैं तुम्हारी जादुई मुस्कान देखकर पागल हो गया हूं,Estoy loco al ver tu mágica sonrisa.,Je suis fou de voir ton sourire magique
তর কঙালা মুকসি হান দেহিয়া মি বিভুলা ইলু,তোমার মায়াবী হাসি দেখে আমি পাগল হয়ে গেলাম,I went crazy after seeing your magical smile,看到你神奇的笑容后我疯了,तुम्हारी जादुई मुस्कान देखकर मैं पागल हो गया,Me volví loco después de ver tu mágica sonrisa.,Je suis devenu fou après avoir vu ton sourire magique
তরে মি পাহুরে নয়ারিম,তোমাকে আমি ভুলতে পারবো না,I can't forget you,我无法忘记你,मैं तुम्हें भूल नहीं सकता,no puedo olvidarte,Je ne peux pas t'oublier
দেরিছাগ পরিল,এপাগাও ভাত হিজা নারলু,Apagao rice hija narlu,阿帕高米 hija narlu,अपागाओ चावल हिजा नारलु,Arroz apagao hija narlu,Riz Apagao hija narlu
আখিগ সেরেন্দা করিয়া নাচেই,বাকো চোখে চেয়ো না,Don't look it in the eyes,别看它的眼睛,इसे आंखों में मत देखो,No lo mires a los ojos,Ne le regarde pas dans les yeux
সাক্ষাৎ দৌ জেলাগহে,দেবীর মতো সুন্দর,Beautiful like a goddess,像女神一样美丽,देवी की तरह सुंदर,Hermosa como una diosa,Belle comme une déesse
তেম্পাক বিদিয়া হেইনু ছিড়ানি,ঢিল ছোড়ে আম পারা,Throwing stones and getting mangoes,扔石头并得到芒果,पत्थर फेंको और आम पाओ,Tirando piedras y consiguiendo mangos,Jeter des pierres et récupérer des mangues
কথাহানতে চুমমোসে,সত্য কথা,the truth,真相,सच्चाई,la verdad,la vérité
বরনহানে নিকুলে নারলু,বৃষ্টির জন্য বের হতে পারি নাই,I could not go out because of the rain,因为下雨我不能出去,बारिश के कारण मैं बाहर नहीं जा सका,No pude salir por la lluvia.,Je ne pouvais pas sortir à cause de la pluie
আজি মি হেলকরিসু,আজ আমার ব্রত,Today is my vow,今天是我的誓言,आज मेरा व्रत है,Hoy es mi voto,Aujourd'hui c'est mon vœu
দিনহান গুজুরার,আকাশ ডাকে,the sky calls,天空在呼唤,आकाश बुलाता है,el cielo llama,le ciel appelle
তা গুজুরার/অতারার,সে কথা বলছে,he is talking,他正在说话,वह बात कर रहा है,el esta hablando,il parle
জানে আকাটাগ পারা ইয়া নাচিরি,কোন ধারনা ছাড়াই সে(স্ত্রী) নাচে,She (wife) dances without any idea,她（妻子）毫无想法地跳舞,वह (पत्नी) बिना किसी विचार के नाचती है।',Ella (esposa) baila sin tener idea.,Elle (femme) danse sans aucune idée
তরে নিয়া হিনপানিত পরলু,তোমাকে নিয়ে ঝামেলায় থাকব,I will be in trouble with you,我会给你带来麻烦,मैं तुम्हारे साथ मुसीबत में पड़ जाऊंगा,estaré en problemas contigo,j'aurai des ennuis avec toi
সুনীতির এলাহান নুঙশি ইসে,সুনীতির গানটা শ্রুতিমধুর,Suniti's song is melodious,苏尼蒂的歌旋律优美,सुनीति का गाना मधुर है,La canción de Suniti es melodiosa.,La chanson de Suniti est mélodieuse
উরসর যন্ত্রনায় গুনজা নারলু,ছাড়পোকার যন্ত্রনায় ঘুম হয় নাই,I did not sleep because of the pain of the tick,由于蜱虫的疼痛，我没有睡觉,टिक के दर्द के कारण मुझे नींद नहीं आई,No dormí por el dolor de la garrapata.,Je n'ai pas dormi à cause de la douleur de la tique
খল সপা সেদা বেললাঙ,কলা গাছ কেটে ফেলেছি,I cut down the banana tree,我砍倒了香蕉树,मैंने केले का पेड़ काट दिया,Corté el plátano,J'ai coupé le bananier
খুত্তেই হান দে,গামছাটা দাও,give me the towel,把毛巾给我,मुझे तौलिया दो,dame la toalla,donne-moi la serviette
হপনে দেখলু টাঙখায় টাঙখায় আম্বারগ ইসে,স্বপ্নে দেখলাম শুধু টাকা আর টাকা,I saw only money and money in my dream,我在梦里只看到钱和钱,मैंने सपने में सिर्फ पैसा ही पैसा देखा,Solo vi dinero y dinero en mi sueño.,Je n'ai vu que de l'argent et de l'argent dans mon rêve
আমার টিভিহান বেদুরুস ইসে,আমাদের টিভি নষ্ট,Our TV is broken,我们的电视坏了,हमारा टीवी टूट गया है,Nuestro televisor está roto,Notre télé est en panne
মাঙ্গারা আগ ফুটকর,মিষ্টি আলু সিদ্ধ করো,Boil the sweet potato,将红薯煮沸,शकरकंद को उबाल लें,Hervir la batata,Faire bouillir la patate douce
মহরীহান টাঙা,মশারীটা টানাও,Pull the mosquito net,拉开蚊帐,मच्छरदानी खींचो,Tira del mosquitero,Tirez la moustiquaire
সাত অহান হিনচাপীগ পারা,রাক্ষসীর মতো চেহারা,Looks like a demon,看起来像一个恶魔,एक राक्षस की तरह लग रहा है,Parece un demonio,On dirait un démon
য়ারিপরি দিয়া মনহান চামইল,গল্পগুজব করে আনন্দ পেলাম,I enjoyed the story,我喜欢这个故事,मैंने कहानी का आनंद लिया,Disfruté la historia,J'ai apprécié l'histoire
সুপও নাদেখিসু তারে,তাকে কখনো দেখিনি,Never seen him,从没见过他,उसे कभी नहीं देखा,Nunca lo he visto,Je ne l'ai jamais vu
যিকগা,নিকন খেলিকগা,Nikon Khelikaga,尼康赫利卡加,निकॉन खेलिकागा,Nikon Khelikaga,Nikon Khélikaga
