bishnupriya_manipuri,bengali
গারিগর গঠন গাঠনেউ,তোমার শরীরী বিভঙ্গ
বিভুলা করের মোরে,উতলা করেছে আমায়
আজিকা আহিসৎ,এসেছ আজ
ফুলুরা কালা দুরদুরা,গোলপি আর কালো রঙের ডোরাকাটা
চাকচাবি বারো মণিপুরর ইনাফি গারে বেড়িয়া,চাকচাবি আর মণিপুরের ইনাফি পরে
জুড়াগর চুলর গতগ,তোমার খোঁপার চুলের গন্ধ
মাতালগ করের মোরে,মাতাল করে আমাকে,
খালকরৌরি তাপকো খুলে দিয়া,ভাবছি আলতো করে খুলে দিয়ে
পিছহানদে বেলাদেং তোর,তোমার পিঠ জুড়ে ছড়িয়ে দিই
চিত্রাঙ্গদার ডেকি ডিগালা কালা চুল,চিত্রাঙ্গদার মতো লম্বা কালো চুল
কিন্তু সাহসে না কুলার,কিন্তু সাহসে আর কুলোয় না
অটগির কেতিরা মুকসি,ঠোঁটের বাঁকা হাসি
আহি বুজে চানাহান,চোখের গভীর চাহনি
চেইলেই মনে অর,দেখলেই মনে হয়
কুঙ্গদে তি চাঙ অহান ডাঙর ইয়া পরিসতগাতা?,কখন যে তুমি সাবালিকা হয়ে গেছ!
হৌদিন তোরে ফিতুপ আহান পিদিয়া,এই তো সেদিন তোমাকে গায়ে গামছা জড়িয়ে
গটিঙ খেলানিৎ দেহেসিলু মাংকলর কোণাগৎ,পুতুল খেলতে দেখেছিলাম বারান্দার কোণে
অথচ আজিকা যৌবনহান,অথচ আজ যৌবন
বুলতে তোরে হারপারাং,,বলতে তোমাকে বুঝি
ফাগুনর কৃষ্ণচূড়া আবীরর রঙ,ফাল্গুনের কৃষ্ণচূড়া আবীরের রঙ
তোরাংহে আসেনাই,তোমার কাছেই তো আছে
গপাটির কথাহান,ভাঁট ফুলের কথা
অ অতাউ তোরাংত গৎগ উদারি করেসে পাউরি,ওরাও তোমার কাছ থেকে গন্ধ ধার নিয়েছে বোধ হয়
আকদিন সাহসহাননো,একদিন সাহস নিয়ে
তোরাং কথাচুটি বেলাসিলু,তোমাকে কিছু কথা বলেছিলাম
কিন্তু তি যৌবনহানর,কিন্তু তুমি যৌবনের
কুনো দামতে নাদলে,দাওনি কোনো দাম
নায়ে বেড়া জনম,নাড়ি জড়ানো জীবন
পূর্ণিমার জোলাকটিক হাকহান,পূর্ণিমার চাঁদজোড়া আকাশ
মি দেখেছিলু আহিথমে তেইর- অকনেই,আমি দেখেছি তার দু’চোখে এই অধমের
আপাঙর নুঙপাঙ জীবনে শিচ্চিল চেপছিলি,অর্থহীন জীবনে সে এসেছিল কাছে
তেই মোর থারানি,সে আমার সম্রাজ্ঞী
তেইরাংত পাছিলু উম- বসন্তর,তার কাছ থেকে পেয়েছি ওম বসন্তের
নিরাশার জগতে আশার রাঙা হপন,নিরাশার জগতে আশার রঙিন স্বপ্ন
জাতপাতর সমাজহার রাঙাআখির মিল্লেঙেতে,জাতপাত ভরা এই সমাজের চোখ রাঙানো দৃষ্টি
মিমুত করেদেনা মনার,ধ্বংস করে দিতে উদ্যত
আশা- আশার, বানা- বানার হপনসংসার,আশা- আশার, প্রেম- প্রেমের স্বপনসংসার
আগদে শৃঙ্খলার দুনিয়ার ডর,একদিকে শৃঙ্খলার দুনিয়ার ভয়
এগদে হৃদির বানার হমাজি মোর,অন্যদিকে অন্তরের ভালোবাসার বান্ধবী আমার
চখা চখা কারে হৃদিগ ইল জখম,ধারালো তীরে হৃদয় হল জখম
মোর নায়ে বেড়া সমাজে নায়ে বেড়া জনম,নাড়ি জড়ানো সমাজে নাড়ি জড়ানো জীবন
যে ঠারে মাতুরি কথা, অহানই ঠারহান নাবে,যে ভাষার কথা বলি, সেটাই কেবল ভাষা নয়
মেয়েকে মেয়েকে শাত’পারের যে ঠার, তার জিঙে,অক্ষরে অক্ষরে ফুটে ওঠে যে ভাষাটি, তার চেয়ে
আরাক আহান থার বিতরে বিতরেবাগাচুরা,আরেকটি ভাষা থাকে ভেতরে ভেতরেভাঙাচোরা
ফঙেদে হাজানি নার শৃংখলার দুনিয়ার ডরে,প্রকাশ্যে যায় না আনা শৃঙ্খলার দুনিয়ার ভয়ে
আহিগি দেখের ঠার, কানহানি হুনের ঠার, প্রাণে,এ চোখ দেখে সে ভাষা, কান শোনে সে-ভাষার ধবনি
তঙাল ধমণিপথে নিয়ত ঠারর আনাগোনা,আলাদা ধমনিপথে নিয়ত ভাষার আনাগোনা
ইংগ ইয়া থাইলেউ থাউরি গোপন ঠারে ঠারে,চুপ হয়ে থাকলেও থাকি কোনো নীরব ভাষায়
মোর দেহ এগ নিজে মূর্তিমান ঠারভগবান,আমার এ দেহ নিজে মূর্তিমান ভাষাভগবান
মেয়েকর দাগে দাগে হাজিয়া যে অর্থ নিকুলের,অক্ষরের দাগে দাগে সেজেগুজে যে অর্থ প্রকাশ
অহানই নাবে অর্থহান; জরমজঞ্জালে, ঘামে,,পায়, শুধু তা-ই অর্থ নয়, জনমজঞ্জালে ঘামে
রকতে রকতে তার যে চিন মাঙর, থায়া থায়া,রক্তে রক্তে হারায় যে চিহ্নগুলি তার, থেকে থেকে
ফঙর তা চিকারিনো, ইকরের নুয়া করপেক,ভাসে চিৎকারে, বাজে নতুন ভাষার রিনিঝিনি
মি তার বিতরে গিয়া নুয়া করে চিনুরি মেয়েক,ভেতরে প্রবেশি তার অক্ষর নতুন করে চিনি
মেয়েকশপার তলে উবা ইলু ফুল তুলানিৎ,অক্ষরগাছের নিচে দাঁড়ালাম ফুল তুলে নিতে
লিশিং লিশিং রঙ, গৎ বারো কেথকমেথক,হাজার হাজার রঙ, গন্ধ আর কত যে ভনিতা
কুরাং ভিতরে গিয়া দাপদের অরিঙ আগউ,কোথায় ভিতরে গিয়ে ছুটে চলে একটি হরিণ
মধু মধু বুলে বুলে ভ্রমরাগ নিজে ইল মধু,মধু মধু ডাক হেঁকে ভ্রমরাটি নিজে হল মধু
পাতায় ধূলিয়ে যত জঞ্জালর হাদিৎ হে ফুল,পাতায় ধুলিতে যত জঞ্জালের ভেতরে হে ফুল
শাতর জঙর, মিতে কিসারে নিতুগা বাসে বাসে,ফোটো তুমি, ঝরে যাও, কিভাবে যে নেব বেছে বেছে
আত আহানে অনাচার সকে সকে পুণ্য বিসারার,এক হাত অনাচার ছুঁয়ে ছুঁয়ে পুণ্য খুঁজে যায়
আরাক আহানে বারো সেঙুয়াউ নেনা চার পাপ,আরেকটি হাত দেখো শুদ্ধ, তবু নিতে চায় পাপ
অ মেয়েকশপাহান, ছায়াছায়া হিনে লাকলায়,হে অক্ষরগাছ, তুমি ছায়া ছায়া দুঃখে বেদনায়
হারুয়ে নুঙেয়ে আজি বাধেয়িলে বকচা এহান,হাসিতে খুশিতে আজ বেঁধে দিলে এই বোঝখানি
ফুল ফল ধূলি পাতা বিষ মধু ভ্রমরার ভার,ফুল ফল ধূলি পাতা বিষ মধু ভ্রমরার ভার
কিসারে নিতুগা মিতে, এগদে অগদে বৌ দের,কিভাবে গ্রহণ করি, এদিকে ওদিকে হাওয়া বয়
মেয়েকশপার তলে কুংগই কার পৌ দের !,অক্ষরগাছের নিচে কে যে এসে কার কথা কয়
ডাঙরিয়া বিয়ানহান, আধারর বুনি পিতে পিতে,মহাত্মা সকাল, জানি আঁধারের স্তন্য পান করে
বলিয়ে পাংকালে আজি মারাংকাইছে হাবি তোর,শৌর্যে আর বীর্যে আজ উপচে পড়ে সব আপনার
ইঙাল মিঙালে রঙে হাজায়িলে মেঙসেল অহান,উজ্বল আলোতে রঙে আয়নাটি সাজিয়ে দিলেন
নিজ শাত চেয়া চেয়া মানু এতা কালাকপেলুইরা,নিজরূপ দেখে দেখে মানুষেরা মজে গেল রসে
তাঙর আহির তলে মাঙুইল আঁধার,আহেই নে,তাদের চোখের তলে হারালো আঁধার, এসো এসো
বেনিগরে হমাদিক, বেনিসেঙ্করা পানিৎ হিনিয়া,সূর্যকে প্রণাম করি, আলোধোয়া জলে সড়বান সেরে
নিজরে সেঙ্করিক, মাঙপা রাতির যত ছাপ,নিজেকে পবিত্র করি, অশুদ্ধ রাতের যত ছাপ
মন্তরনো মুছেদিক ভিতরেত আকিহান করে,মন্ত্রে শে−াকে মুছে দেই নিজের ভেতর থেকে সব...
ডাঙরিয়া হে বিয়ানহান,অতা বুলিয়া হাবি নাপাহুে,মহাত্মা সকাল ওহে, তাই বলে আপনি আবার
রবেলিস, যে-আধারস্তন্যে খৌনুগ বুজিলে,যাবেন না ভুলে সব, যে-আঁধারস্ত্যন্যে ভরা প্রাণ
তার দান হুজানির কালে বার পিছবুলা নাদিস,ঋণ তার শোধবার কালে পিছু নাহি তাকাবেন
পিছেদেউ রক্ষা নেই, আখি মেলিতারা যত লাশ!,পেছনেও রক্ষা নেই, চোখ মেলে চায় যত লাশ
বর্তমানচারিয়বারাদে তার থ’ছে ইতিহাস,বর্তমান, চারিদিকে ছড়িয়ে রেখেছে ইতিহাস
কি রাঙা আধারহানে গুরেইল তোরে,হায় অন্ধ,কী রঙিন অন্ধকারে হায় অন্ধ ঢেকেছে তোমাকে
কিসারে চিনতেই আজি রঙর নমুনা,তোর আহি,কী করে চিনবে আজ রঙের নমুনা, কে তোমার
বুজিয়া কুংগই দিল উছরিয়া মায়াছায়ারঙ,দুই চোখ ভরে দিল উছলিয়া মায়াছায়া রঙ
বেনিগদে চেউলে আরো যাদুর জোনাকহান ইল,তাকালে সূর্যের পানে, যাদুর চন্দ্রিমা হয়ে গেল
জোনাক জোনাক বুলে সকলেগা তি কার নিরালর,চাঁদ বলে ডেকে ডেকে ছুঁলে কার কপালের টিপ
টিপগ,মিকুপেই তোর ভিতরে হমিয়া টিপটিপ,মুহূর্তেই তোমার ভিতরে ঢুকে টিপটিপ সেযে
হৃদয়পিন্ডগ ইয়া নাচানি অকরল তালে তালে,হৃদয়পির মতো শুরু করল নাচ তালে তালে
নাচ হে হৃদয় নাচ,মিয়ো দেং নেপথ্যের এলা,নাচো হে হৃদয়, নাচো, আমি গাই নেপথ্যের গান
এলায় নাচায় আজি বাহিল ভিতরপথহান,গানে আর নাচে আজ ভেসে গেল গহন সে-পথ
যিতেগা যিতেগা কুন সুর আগ খাংদামোর পথে,যেতে যেতে কোনো সুর আচমকা এ-পথে দাঁড়ায়
দ্বিয় আত সালকরিয়া থরোথরো-নেগা মোরে নেগা!,দুহাত বাড়িয়ে ডাকে, থরোথর, নাও মোরে, নাও
কুংগৈ নিতগা কারে,কুংগই পিদাইত মালা,কে বলো কাহারে নেবে, কে কাকে পরাবে হে মালা
ইঙাল আধারে আজি খানি তোর খানি মোর পালা,উজ্জ্বল আঁধারে আজ তোমার আমার শুধু পালা
তি ছাড়া কৃষ্ণরে মিতে নাউ চিনলু অইস হে রাধা,তুমি ছাড়া কৃষ্ণকে তো আমি চিনতাম না হে রাধা
তোর অন্তরর পথে আতে আতে তার গরে যানা,তোমার অন্তরপথে হেঁটে হেঁটে তাঁর ঘরে যাওয়া
উঠান মাংকল না চিনিয়া চেয়া থাইলে মনে,উঠান বারান্দা যদি আমাকে না চিনে চেয়ে থাকে
দেউরি প্রবোধতিয়ৌ পথরুদ্ধকালে তারে নাউ,তখন প্রবোধ দেই তুমিও তো পথরুদ্ধকালে
চিনিছিলে, ডাকাইতগ মালুয়া যেগই হাবি তোর,চেনো নাই তাকে, ডাকাতের বেশ ধরে যে তোমার
কারুনিয়া নিলগা, তা হাবিতানো আয়া ফির তোর,সব কেড়ে নিল, সবকিছু নিয়ে এসে সে তোমার
বিতরেউ নেরগা জরম, তারে জন্ম দিতে দিতে,ভেতরেই জন্ম নেয়, আর তাকে জন্ম দিতে দিতে
রচিলে তি তার লগে অভিসার মিলন বিরহ---,রচিলে যে তারই সাথে অভিসার মিলন বিরহ...
নিজর লগেই মোর বিরহ মিলন অভিসার,নিজের সাথে আমার বিরহ মিলন অভিসার
হুদ্দা এরে ধূলি মাটি হিসাবর সংসারে তি রাধা,শুধু এই ধূলি-মাটি-হিসাবের সংসারে হে রাধা
দুরিপা কৃষ্ণরে মোর হাজায়িলে হৃদয়মা-পে,দূরকৃষ্ণকে আমার সাজালে এ হৃদয়ম-পে
মি তারে চিনুরি, তোর আতনো তার সকুরি চরণ,চিনি আমি, তোমার ঐহাতে তার পরশি চরণ
তি ইলেগা গোপীচান অউরি মি হরিনারায়ণ,তুমি হলে গোপীচান আমি হই হরিনারায়ণ
হারিদিন বার্তন আহের,প্রতিদিন নিমন্ত্রণ আসে
বার্তনর তাংখাহানে তুলসীপুংগৎ,নিমন্ত্রণপত্রটা তুলসীতলায়
নাপালর কেতিরা মুকশি আহান থাকরেসে,গর্বভরে একটা বাঁকা হাসি উপহার দিয়েছে
কারাং মাত্তু ব্রজর ভাবহান তঙাল,কাকে বলি ব্রজের ভাব ভিন্ন
আজিকালির বার্তন এতা,আজকাল নিমন্ত্রণগুলো
হস্তিনাপুরর রাজসভাহানাত্ত আহেরতা,হস্তিনাপুরের রাজসভা থেকে আসে
শকুনির পাশার গুটিগির ছলনার বার্তন,শকুনির পাশার গুটির ছলনার নিমন্ত্রণ
ভীষ্ম দ্রোণ বিদুরতে নুনর গুণে,ভীষ্ম দ্রোণ আর বিদুর তো নুনের গুণে
কুম্পাগাত্ত নিজরেও পাহুরে বেলাসি,সেই কবে থেকে নিজেকে ভুলে বসে আছেন
হারিদিন বার্তন আহের,প্রতিদিন নিমন্ত্রণ আসে
দশর মুংহাৎ দ্রৌপদীর বস্ত্রহরণর,জনারণ্যে দ্রৌপদীর বস্ত্রহরণের
তি মাতিসিলে,তুমি বলেছিলে
মি পূর্ণিমার জোনাকহান ইতৌ,আমি পূর্ণিমার চাঁদ হবো,
ইতৌ মুষ্টি আহান রইদ,হবো এক মুঠো রোদ্দুর
তি মাতিসিলে,তুমি বলেছিলে
মি হাকহার মেঘালা ইতৌ,আমি আকাশের মেঘ হবো,
ইতৌ নুংশিপা দক্ষিণা বৌহান,হবো দক্ষিণা বাতাস সুমধুর
অহাননো মি,তাই আমি
পূর্ণিমার জোনাকহান ইতৌ বুলিয়া,পূর্ণিমার চাঁদ হবো বলে, তোমার কাছে
তোরাং খানি মিঙাল উদারি চাসিলুতা,খানিকটা জোছনার আলো ধার চেয়েছি
মুষ্টি আহান হুনামাচু রইদ ইতৌ বুলিয়া,এক মুঠো সোনালি রোদ্দুর হবো বলে,
তোরাং কালাচিংখেইর মুংবারার দিগন্তহান চাসিলুতা,তোমার কাছে ভোরের পূর্ব দিগন্ত চেয়েছি
মেঘালা ইতৌ বুলিয়া চাসিলুতা খানি দলামাচু,মেঘ হবো বলে চেয়েছি কিছুটা শুভ্রতা,
দক্ষিণা বৌহান ইতৌ বুলিয়া চাসিলুতা ইম্পানিহান,দক্ষিণা বাতাস হবো বলে চেয়েছি মৌনতা
অথচ তি, মোরে সমুদ্রুহান অনা মাতিয়া,অথচ তুমি, আমাকে সমুদ্র হতে বলে
সমুদ্রুর নীলুয়া বিষাদ উদারি দিলে সুদছাড়া,সমুদ্রের নীল বিষাদ ধার দিলে বিনা সুদে
থাচির রাতির কর আধারে,অমাবস্যা রাতের ঘোর আঁধারে
সিঙ্গারেই ফুলর গতগ সিলুইল,শিউলি ফুলের গন্ধ ভেসে আসে আকাশের দিকে
দিনহানদে আকমাউ চেইতে বারো,একবার তাকিয়ে দেখতেই
তারা আগ জরককো জঙিল,একটা তারা খসে পড়ল
কতগ তারাই মুকশি দিতারা,কয়েকটি তারা মুচকি মুচকি হাসছে কয়েকটি তারা আমাকে ডাকছে
কতগ তারাই মোরেউ ডাকতারা,আমি বসে রইলাম কিছুক্ষণ
বহিয়া থাইলু কতহান,মনটা হারিয়ে গেল আঁধারে
আধারে মাঙুইল মনহান,ঠান্ডা বাতাস বইয়ে পৃথিবী
ইংপা বৌহাননো পৃথিবী ইমাই,ফেলে দিল কুয়াশার চাদর
বেলাদিল খুয়ার শালহান,দুর্বা ঘাসের কুয়াশায় ভিজে গেল পা যৌবনের বীণাটা বেজে উঠল
দুব শপার খুয়াই জাংহান তিঙিল,মনে পড়ে গেল বান্ধবীর মুখ
যৌবনর বেণাহান ডংকো রহিল,অদ্ভুত আনন্দে ভরে গেল মন
হমাজির সাকতাহান মনহাত ফঙিল,কুয়াশাভেজা গল্প
হারৌহানে মনহান তিঙিল,কুয়াশাভেজা একটি গল্প
খুয়াই তিঙা য়ারি,রেখেছি বন্ধু
খুয়াই তিঙিসে য়ারি আহান,তোমাকে দেব বলে
থসুতা মারুপ,ভোরের নরম রোদ
তোর লগে দেঙ বুলিয়া,সরে যাওয়ার আগে
বিয়ানর কঙালা রোদগ,পুকুরপাড়ের চাঁপাতলায়
যানার আগে,দ্রুত চলে এসো বন্ধু
পহুরিপারর লেহাউ শপার তলে,দ্রুত চলে এসো
থক্ক আই মারুপ, থক্ক আই,কুয়াশার ফোঁটা পড়বে গায়ে
খুয়ার পানিফুটা গারিগৎ পরতই,কুয়াশাভেজা গল্পটাও জমবে বেশ
খুয়াই তিঙা য়ারিহানৌ জমতই,দ্রুত চলে এসো বন্ধু
থক্ক আই মারুপ, থক্ক আই,দ্রুত চলে এসো
সাকতাহান দনাত আহিসে হমাজি,মুখ ধুতে চলে এসেছে সই
আলয়া যানার আগে,ওর ফিরে যাওয়ার আগে
আই মারুপ আই,এসো বন্ধু এসো
জারহানে নিকদিতাঙাই,শীতে শরীরটা কাঁপবে
য়ারিহানৌ সিকদিতাঙাই,গল্পটাও বেশ জমবে
পুণ্য দাঙ্গই লাগাসে,পুণ্য দাদির জ্বালানো
খেরার জ্বিগ হেদতাঙাই,খড়ের আগুন পোহাব
খুয়াই তিঙা য়ারিহানৌ,কুয়াশাভেজা গল্পটাকেও
তাপকো তাপকো হুকিতাঙাই,ধীরে ধীরে শুকাব
আই মারুপ আই...,এসো বন্ধু এসো...
মি এপাগাউ জিংতা ইয়া আসু,আমি এখনো বেঁচে আছি
জীবন এহান খামো পড়িসিলগা,জীবন থেমে গিয়েছিল
অচিনা কইঠেক আগত,এক অজানা মোড়ে,
খাংদা হানি মিঙাল নিবো পড়িসিলগা,হঠাৎ সব আলো নিভে গিয়েছিল
আহিগির প’গত,চোখের ঘরে
মোর হপন হাবি বাগে বাগে পড়িসিল,স্বপড়বগুলো ভেঙে পড়েছিল
বৈশাখর বৌবরনে,গ্রীষ্মের ঝড়ে,
আহানির রৌহান মাঙয়া গিয়াসিলগা,হাসির আওয়াজ গিয়েছিল
কর আধারর পারগত,হারিয়ে অন্ধকারের পাড়ে
গারিগ ইসিল বরি, মনহান ইসিল চকথা,শরীর হয়েছিল ভার, মন হয়েছিল ক্লান্ত,
আহির পানিয়ে তিঙিসিল হাবি বারা,চোখের জলে ভিজেছিল প্রতিটি প্রান্ত
ঠইগর ভিতরে য়মিসিল ইম্পানি লৌ,বুকের ভেতর জমেছিল নিঃশব্দ চিৎকার,
নিজরে মাংকরে বেলাসিলু পারা কত্তমাউ,যেন নিজেকেই হারিয়ে ফেলেছিলাম বারবার
কিন্তু মি না হারিসু,,কিন্তু আমি হেরে যাইনি
নাইসু সুপ পরাজিত,নই কোনো পরাজিত,
ঠই মুজুরা দুঃখর হাদিত্তৌ,যন্ত্রণার ভেতর থেকেও
উঠিসিলু পাংকাল পেয়া,উঠেছি অমিত
আত দ্ব্যহানি অচল ইলেউ,হাত দুটো অচল হলেও
খৌরাং আসে হজাক,ইচ্ছেটা আজও জাগে,
মোর উঠের রোদ অগ,আমার উঠে যে রোদ
নিজেই হংকরুরি খানি খানি,নিজেই তৈরি করি ভাগে ভাগে
মি বাগিয়া পড়িসুগ,,আমি ভেঙে পড়েছি,
কিন্তু লাহুল পাংকালে হঙিসু,কিন্তু অশেষ শক্তিতে গড়া,
মোর মুকশির আরুমে,আমার হাসির আড়ালে
লুকিয়া আসে যত বৌবরন,লুকিয়ে আছে ঝড় ধরা
টেইপাং এহানে মোরে,জীবন আমাকে
বেলাসিল তলে,ফেলেছিল নিচে
বারো তাই ইমে উঠাদিল,আবার তুলেও দিলো,
মিয়েই প্রমাণ মানুগ মাঙয়া গেলেগাউ,আমি প্রমাণ মানুষ হারলেও
মনহান না মাঙর অহানৌ হিকাদিল,মন হারায় না তাও শিখিয়ে দিলো
মনর খংচেল,হৃদয়ের কণ্ঠস্বর
কিদিয়া জঙের ফুল,কেন ঝরে পড়ে ফুল
বারো কিদিয়াউ বা শাতর,,আর কেনই বা ফোটে
কিদিয়া বারো অর ইম্পানি,কেন হয় নিস্তব্ধ
আগে অসিল ডাঙর খংচেল,আগে তো ছিল কণ্ঠের জোর
এরে তোর মোর কতি জনমর ওয়ারিপরি,এই যে তোমার আমার কত জনমের
আসে হাবি পড়িয়া,গল্প সব পড়ে রয়েছে
কই তিতে মোরে নাউ মাতলে!,কোথায় তুমি তো আমাকে বলোনি!
মিয়ৌ তোরে না বাগেইলু,আমিও তোমাকে জানাইনি
এসারেই যারগা দিন,,এভাবেই কেটে যায় দিন
হাবি হিন, গনে গনে,সকল বেদনা- গুনে গুনে
থাক হাবি ইঞ্চিক ইয়া,তুমি থাকো নিশ্চুপ
কিত্তা নেই মাতে মাতে,কিছুই হবে না কথা বলে
নাইতই আর এরে জনমে,,আর হবে না এ জনমে
জঙিল হাবি রাঙিলা হপন,ঝরে যায় সব রঙিন স্বপ্ন
আরুমে ইল হাবি নিরুদ্দেশ,গোপনে হয় সব নিরুদ্দেশ
